"quantity","value","source"
"design","p = 15000, GSE14520, n_train = 356","s1_descent_summary / s1_ess_check"
"replications (descent)",50,"s1_descent_summary(p = 15000L, reps = 1:50)"
"outer IRLS steps evaluated",250,"s1_descent_summary"
"steps decreasing Q",200,"s1_descent_summary"
"percent of steps decreasing Q",80.0,"s1_descent_summary"
"replications with Q(final) < Q(initial)",0,"s1_descent_summary"
"median net change in Q over a full run",13.32291,"s1_descent_summary"
"iteration at which every increase occurred",1,"s1_descent_summary"
"largest single increase in Q",56.0366,"s1_descent_summary"
"median within-run ratio max(sigma)/min(sigma)",85.03,"s1_descent_summary"
"min within-run ratio max(sigma)/min(sigma)",50.37,"s1_descent_summary"
"max within-run ratio max(sigma)/min(sigma)",157.77,"s1_descent_summary"
"replications (effective sample size)",30,"s1_ess_check(p = 15000L, reps = 1:30)"
"mean predictors selected, iteration 1",92.5,"s1_ess_check"
"mean predictors selected, iteration 2",2353.6,"s1_ess_check"
"mean predictors selected, final iteration",940.1,"s1_ess_check"
"mean sigma, iteration 1",0.148924,"s1_ess_check"
"mean sigma, iteration 2",0.001685,"s1_ess_check"
"mean bisquare cutoff c*sigma, iteration 1",0.697709,"s1_ess_check"
"mean bisquare cutoff c*sigma, iteration 2",0.007895,"s1_ess_check"
"observations with weight > 0, final iteration",298.5,"s1_ess_check"
"percent of observations with weight > 0, final iteration",83.84,"s1_ess_check"
"effective sample size, final iteration",289.1,"s1_ess_check"
"effective sample size, minimum across replications",272.4,"s1_ess_check"
"effective sample size, maximum across replications",306.6,"s1_ess_check"
"largest share of total weight on any single observation",0.004,"s1_ess_check"
