"Framework","p","R","d_RWAL","se_RWAL","pct_RWAL","p_RWAL","d_ENET","se_ENET","p_ENET"
"ICM",1000,1000,0.0584242564411682,0.00104876563160981,11.1546069811826,1.08670259337699e-308,-0.0262764189650533,0.000734882535148634,5.7646590763361e-181
"ICM",5000,1000,0.047955586174976,0.000742049361295193,10.0267305548705,0,-0.00969946611214702,0.000546388149659847,1.71186386005633e-61
"ICM",10000,1000,0.0661154470740063,0.000961579454365482,14.1839199854626,0,-0.00210701581983767,0.000410258511990807,3.37637310484332e-07
"ICM",15000,1000,0.0806585503207236,0.0008671089133765,16.8123037478643,0,0.00018571543801056,0.00041765234704583,0.656658085035685
"ICM",20000,1000,0.0915261674944964,0.00085055708648087,19.0268315527072,0,0.0102978543262946,0.000402880722278337,2.78561003258513e-111
"THCM",1000,1000,0.0543396988705193,0.00110887574631934,16.8939177191875,5.74974782880881e-268,-0.0153515203270437,0.000882766416558401,2.23297767114071e-59
"THCM",5000,1000,0.0175784234870205,0.000559750456042747,8.26899372361642,3.81755910936692e-151,0.00414444671082199,0.000370789553012696,2.05941236941631e-27
"THCM",10000,1000,0.0595003994579122,0.0013653197139909,23.7957966134988,2.77547945116898e-233,0.00684432655133575,0.000345852047912555,8.3986886961923e-74
"THCM",15000,1000,0.0772215100374244,0.00104478680344855,30.5863266732383,0,0.00195042637986496,0.000345959183864698,2.24140863578227e-08
"THCM",20000,1000,0.0722376146274969,0.000938955899884538,29.0291548071971,0,-0.00271823158050528,0.000329288408304396,4.77648423770493e-16
