"p","Method","R","Mean_Jaccard","SE_Jaccard","N_ever_selected","N_freq_ge_50","N_freq_ge_80","Mean_set_size","SD_set_size"
1000,"LASSO",1000,0.311211039996717,0.0031881640340662,885,47,19,83.303,36.5875093008097
1000,"ENET",1000,0.323784879911886,0.00308786890628414,936,60,25,102.071,39.7056229707518
1000,"MM-RWAL",1000,0.315939003394267,0.00900143974190532,79,1,1,3.525,2.17073422764904
1000,"RAENR-MM",1000,0.389272378615584,0.00665644941889801,497,18,11,30.317,20.3860762066442
5000,"LASSO",1000,0.249178497452656,0.00294090607213921,2140,48,16,100.48,44.8659620932679
5000,"ENET",1000,0.265226954232626,0.00289102774854957,2243,60,20,118.183,47.6160140687542
5000,"MM-RWAL",1000,0.389489477629298,0.00633868558899477,114,8,3,8.771,3.00492738491109
5000,"RAENR-MM",1000,0.411854648768266,0.0045728686041656,594,32,18,46.245,14.1834461660467
10000,"LASSO",1000,0.20848351300633,0.00503800263091807,2289,21,5,69.399,35.2330692413841
10000,"ENET",1000,0.219676814839215,0.00386757059673749,2255,41,7,88.717,33.3974595037003
10000,"MM-RWAL",1000,0.248985783288461,0.0102394144945992,118,2,0,5.551,3.75706195244562
10000,"RAENR-MM",1000,0.460309650869719,0.0039695148019687,578,35,20,44.592,9.22109345818404
15000,"LASSO",1000,0.24643653857902,0.00306444831307485,2174,32,10,72.395,32.5553809350747
15000,"ENET",1000,0.249108447006614,0.00281147044309134,2471,50,13,94.86,33.7048723246123
15000,"MM-RWAL",1000,0.327435714285714,0.00815320740733378,34,1,1,3.487,1.05306217287487
15000,"RAENR-MM",1000,0.461224469053896,0.00357007533844954,499,36,20,44.397,7.28288620201026
20000,"LASSO",1000,0.249290375626556,0.00377915108701205,2755,37,12,80.896,42.7459050248839
20000,"ENET",1000,0.255321336070689,0.00321956687184104,2900,52,15,99.782,39.9864651275077
20000,"MM-RWAL",1000,0.334554761904762,0.00810181939240526,37,1,1,3.382,1.03108638781585
20000,"RAENR-MM",1000,0.46751752341355,0.00359316502617391,653,34,21,43.922,8.9752142297814
