"rep","p","rmse_low","rmse_high","sel_low","sel_high","jaccard","beta_rel_change"
1,15000,0.151680776015344,0.160309973801486,834,388,0.176130895091434,0.460663526973765
2,15000,0.16339571030812,0.167764744857699,803,366,0.152859960552268,0.49453003055761
3,15000,0.155025276167746,0.158130173260197,719,396,0.188699360341151,0.465195185615081
4,15000,0.20911712142467,0.215002495361738,836,500,0.209049773755656,0.445368557846216
5,15000,0.175321866091894,0.175350297609649,776,365,0.19226750261233,0.476952877166138
6,15000,0.173789260566553,0.167919061199857,780,358,0.2067868504772,0.501063124151507
7,15000,0.201383783010521,0.213320166578014,840,398,0.164628410159925,0.439696051623583
8,15000,0.152781189280631,0.150384506559092,840,397,0.168083097261568,0.453259505173656
9,15000,0.185483993930842,0.19251706099002,815,412,0.171919770773639,0.414016539220265
10,15000,0.136318273484923,0.145231684265612,997,454,0.17205169628433,0.422822260484377
11,15000,0.193800132408314,0.19214062499914,787,412,0.18011811023622,0.486610417387542
12,15000,0.200387226699714,0.203052394772622,823,377,0.169590643274854,0.418083199767657
13,15000,0.163368253146809,0.17658462803165,813,423,0.195357833655706,0.485922207088839
14,15000,0.18889641405594,0.202031766422709,1060,413,0.169976171564734,0.397086707932547
15,15000,0.164446342505658,0.175460193925829,835,436,0.208174904942966,0.459015481735866
16,15000,0.221097319541086,0.206017938984982,901,448,0.193805309734513,0.432469085282141
17,15000,0.180140128354266,0.194790352800433,779,395,0.210309278350515,0.505867395229283
18,15000,0.225539052012322,0.212984257772987,751,381,0.192834562697576,0.50103092440301
19,15000,0.190761945427455,0.190823978954164,783,426,0.232415902140673,0.502233951997709
20,15000,0.187707351419742,0.210784548797781,883,498,0.219964664310954,0.459032923561762
21,15000,0.164240316372447,0.162382798121935,819,417,0.180515759312321,0.464277073908112
22,15000,0.149064808309829,0.148536083840998,667,358,0.211583924349882,0.550695423943853
23,15000,0.190385416872359,0.190210962847781,800,369,0.180808080808081,0.424863122851931
24,15000,0.172390383219678,0.164883379241267,902,412,0.19672131147541,0.416054331520984
25,15000,0.190478197965019,0.194394549536868,1091,451,0.2,0.348065553413677
26,15000,0.149878497964289,0.164069677779971,870,387,0.184731385485391,0.500381589940751
27,15000,0.144570926952713,0.15012844631852,919,428,0.166233766233766,0.43929390109879
28,15000,0.162943673813518,0.162517687882521,1033,435,0.184826472962066,0.479395921833936
29,15000,0.1850980758623,0.185281939623539,687,352,0.212368728121354,0.360301163312985
30,15000,0.217744675095078,0.22688531316842,836,417,0.202495201535509,0.388123786232746
31,15000,0.145390343655768,0.143307155271769,820,388,0.184313725490196,0.470460775032405
32,15000,0.167483947990607,0.183303144942406,818,372,0.19,0.453116180949195
33,15000,0.20003639507636,0.20616377408714,749,404,0.178936605316973,0.57207199009057
34,15000,0.160918962022271,0.154511295819525,804,377,0.188128772635815,0.500345770051358
35,15000,0.191875860553982,0.193687722606741,902,431,0.200900900900901,0.432274443765662
36,15000,0.160240058813973,0.152537715067187,868,370,0.197292069632495,0.462727867712781
37,15000,0.144273542304536,0.15996810361273,777,407,0.182817182817183,0.456613736677572
38,15000,0.120270988181191,0.133779508138009,818,452,0.191369606003752,0.473169009141282
39,15000,0.12623755553616,0.132563422092591,808,421,0.199024390243902,0.485705336611323
40,15000,0.17736376083552,0.18179340917803,966,428,0.177364864864865,0.400211494383874
41,15000,0.175692155289398,0.180811202751021,720,370,0.212458286985539,0.445660891320351
42,15000,0.14276599714349,0.121375130145519,792,394,0.159335288367546,0.47811127750767
43,15000,0.127475142192534,0.140349263447908,632,357,0.183014354066986,0.423401154316359
44,15000,0.187896517252325,0.181110429162747,898,417,0.198723792160438,0.421422789811863
45,15000,0.148066262841649,0.152562434885875,815,382,0.176991150442478,0.492230563206785
46,15000,0.128462005150556,0.140558821068159,829,369,0.216243654822335,0.410978979912838
47,15000,0.139322571057548,0.125347436294699,919,441,0.205673758865248,0.463175611636739
48,15000,0.179141141602424,0.172216938855838,821,391,0.214428857715431,0.484143982426888
49,15000,0.174029428715502,0.166202167456197,814,417,0.172380952380952,0.461736312160123
50,15000,0.142242030505592,0.147165853001854,987,441,0.211195928753181,0.500383649801359
