"rep","p","cap","outer_iters","outer_converged","outer_hit_cap","final_outer_delta","inner_mean","inner_max","inner_conv_frac","inner_hit_cap_frac","n_selected"
1,15000,5,5,FALSE,TRUE,0.0367174588013928,50,50,0,1,834
2,15000,5,5,FALSE,TRUE,0.0449368767710736,50,50,0,1,803
3,15000,5,5,FALSE,TRUE,0.0419879873588526,50,50,0,1,719
4,15000,5,5,FALSE,TRUE,0.031526832703719,50,50,0,1,836
5,15000,5,5,FALSE,TRUE,0.0433428400000059,50,50,0,1,776
6,15000,5,5,FALSE,TRUE,0.0409279854405976,50,50,0,1,780
7,15000,5,5,FALSE,TRUE,0.0361296549024419,50,50,0,1,840
8,15000,5,5,FALSE,TRUE,0.0381442379747812,50,50,0,1,840
9,15000,5,5,FALSE,TRUE,0.0379559313037775,50,50,0,1,815
10,15000,5,5,FALSE,TRUE,0.0302877772826877,50,50,0,1,997
11,15000,5,5,FALSE,TRUE,0.0380488996773621,50,50,0,1,787
12,15000,5,5,FALSE,TRUE,0.0371075826781878,50,50,0,1,823
13,15000,5,5,FALSE,TRUE,0.0375876788531474,50,50,0,1,813
14,15000,5,5,FALSE,TRUE,0.0320410970564246,50,50,0,1,1060
15,15000,5,5,FALSE,TRUE,0.042236261956756,50,50,0,1,835
16,15000,5,5,FALSE,TRUE,0.0344676841248632,50,50,0,1,901
17,15000,5,5,FALSE,TRUE,0.041694183858624,50,50,0,1,779
18,15000,5,5,FALSE,TRUE,0.0385813578332067,50,50,0,1,751
19,15000,5,5,FALSE,TRUE,0.0352060439309522,50,50,0,1,783
20,15000,5,5,FALSE,TRUE,0.0324638236194263,50,50,0,1,883
21,15000,5,5,FALSE,TRUE,0.0365914819166891,50,50,0,1,819
22,15000,5,5,FALSE,TRUE,0.0450490898290105,50,50,0,1,667
23,15000,5,5,FALSE,TRUE,0.0370986683121766,50,50,0,1,800
24,15000,5,5,FALSE,TRUE,0.0435941185559846,50,50,0,1,902
25,15000,5,5,FALSE,TRUE,0.0285249500900638,50,50,0,1,1091
26,15000,5,5,FALSE,TRUE,0.043492713114735,50,50,0,1,870
27,15000,5,5,FALSE,TRUE,0.0370784925692392,50,50,0,1,919
28,15000,5,5,FALSE,TRUE,0.0351063751575514,50,50,0,1,1033
29,15000,5,5,FALSE,TRUE,0.0310035958593135,50,50,0,1,687
30,15000,5,5,FALSE,TRUE,0.0405182751273377,50,50,0,1,836
31,15000,5,5,FALSE,TRUE,0.045208269416779,50,50,0,1,820
32,15000,5,5,FALSE,TRUE,0.0305406234934046,50,50,0,1,818
33,15000,5,5,FALSE,TRUE,0.0445009999138106,50,50,0,1,749
34,15000,5,5,FALSE,TRUE,0.0406875767824909,50,50,0,1,804
35,15000,5,5,FALSE,TRUE,0.038134590194357,50,50,0,1,902
36,15000,5,5,FALSE,TRUE,0.0401810552610233,50,50,0,1,868
37,15000,5,5,FALSE,TRUE,0.0443270691165989,50,50,0,1,777
38,15000,5,5,FALSE,TRUE,0.0395190581459378,50,50,0,1,818
39,15000,5,5,FALSE,TRUE,0.0380240196014059,50,50,0,1,808
40,15000,5,5,FALSE,TRUE,0.0348429829865664,50,50,0,1,966
41,15000,5,5,FALSE,TRUE,0.0408973409449313,50,50,0,1,720
42,15000,5,5,FALSE,TRUE,0.0360290415611368,50,50,0,1,792
43,15000,5,5,FALSE,TRUE,0.0369847574133166,50,50,0,1,632
44,15000,5,5,FALSE,TRUE,0.0381965650104388,50,50,0,1,898
45,15000,5,5,FALSE,TRUE,0.0416870791840694,50,50,0,1,815
46,15000,5,5,FALSE,TRUE,0.0458337812885704,50,50,0,1,829
47,15000,5,5,FALSE,TRUE,0.0409879489769583,50,50,0,1,919
48,15000,5,5,FALSE,TRUE,0.0456947339751575,50,50,0,1,821
49,15000,5,5,FALSE,TRUE,0.0383888683167011,50,50,0,1,814
50,15000,5,5,FALSE,TRUE,0.0394655748221196,50,50,0,1,987
