"rep","p","n","desc_frac_code","desc_frac_eq19","desc_frac_asrep","obj_change_code","obj_change_eq19","obj_change_asrep","worst_inc_code","worst_inc_eq19","worst_inc_asrep","outer_conv_code","outer_conv_eq19","outer_iters_code","outer_iters_eq19","inner_conv_code","inner_conv_eq19","sel_code","sel_eq19","rmse_code","rmse_eq19"
1,15000,356,1,1,0.8,-4.43667251652437,-1.89965494175929,24.4148021647297,-0.00273306130485797,-0.000190339598093558,31.977079095729,FALSE,FALSE,5,5,0,0.8,1001,44,0.155377740418496,0.167566717640924
2,15000,356,1,1,0.8,-5.57457194631125,-2.3919500216635,33.056501813023,-0.00330216512868831,-7.07107309736443e-05,41.9511361034411,FALSE,TRUE,5,5,0,0.6,910,50,0.185242194418203,0.173140422956758
3,15000,356,1,1,0.6,-5.39833012598043,-2.41345428750982,32.0385883734162,-0.00944025230016179,-7.70211041123403e-05,40.7735657667836,FALSE,TRUE,5,5,0,0.8,1064,44,0.168300350092397,0.147656826002808
4,15000,356,1,1,0.8,-4.87969914803232,-2.62169975645474,20.8854949960414,-0.00271475459207995,-0.000964063398410708,32.9972657554867,FALSE,FALSE,5,5,0,0.8,967,51,0.204390611070693,0.211139218854313
5,15000,356,1,1,0.8,-4.86254795276767,-2.44797813480057,28.0135652821026,-0.00231840205182672,-0.000548126855489883,37.3519575366684,FALSE,FALSE,5,5,0,0.8,835,40,0.178696163441534,0.152295426552156
6,15000,356,1,1,0.8,-4.6085379071211,-2.16689037859253,28.7549640803902,-0.00207375712705804,-0.00118184852146985,38.5365638285208,FALSE,FALSE,5,5,0,0.8,786,41,0.165438422676934,0.181209119029344
7,15000,356,1,1,0.8,-4.22069374407957,-1.98266116803199,20.8715597549714,-0.00247887393302831,-0.000290217191526665,29.6353385736896,FALSE,FALSE,5,5,0,0.6,913,46,0.219443545344447,0.196023067854198
8,15000,356,1,1,0.8,-4.86685585457626,-2.08065148940166,23.6495027756904,-0.0028506550106463,-0.000184675497437503,33.534647306422,FALSE,FALSE,5,5,0,0.8,998,50,0.138585456329882,0.144415592679436
9,15000,356,1,1,0.8,-4.05601761193297,-1.78792765348601,19.457558715861,-0.00239108725107268,-4.7142076945228e-05,29.4141395496532,FALSE,TRUE,5,5,0,0.8,980,50,0.188157852158091,0.187712772911641
10,15000,356,1,1,0.8,-3.81019847209929,-2.31029385003961,16.442460945024,-0.002638304785537,-0.000357379131067148,25.5946809923712,FALSE,FALSE,5,5,0,0.6,1029,57,0.127309888855203,0.140353364283257
11,15000,356,1,1,0.8,-5.33453017522476,-2.67063058628712,30.7933971372093,-0.00292293595578126,-0.000290602619437585,41.6170010016092,FALSE,FALSE,5,5,0,0.8,880,50,0.184734890470537,0.181157924566172
12,15000,356,1,1,0.8,-4.453619403552,-2.47673375932321,23.2888773747812,-0.00268780854187424,-0.000208732123314626,32.9339295157357,FALSE,FALSE,5,5,0,0.6,938,48,0.187837344350974,0.204097325944922
13,15000,356,1,1,0.8,-5.37333952052973,-2.5123978875045,29.8091903895269,-0.00367147008150724,-0.000152705590625857,40.507858763577,FALSE,TRUE,5,4,0,0.75,887,41,0.175461374961494,0.159437824700277
14,15000,356,1,1,0.8,-3.04253382405725,-1.73848200938055,9.70544046638863,-0.00194146406319091,-0.00163728807511898,17.4851930556741,FALSE,FALSE,5,5,0,0.4,1248,68,0.185308788579979,0.189905088153028
15,15000,356,1,1,0.8,-5.27452926983499,-2.35589294603199,29.2546150256806,-0.00318180855900298,-3.09191477168014e-05,39.1637076450022,FALSE,TRUE,5,5,0,0.8,940,41,0.167957892257048,0.182348141608838
16,15000,356,1,1,0.8,-4.38238415294507,-1.73865639134021,20.7022668013403,-0.00257858708394858,-0.000290254876061269,29.5927946036309,FALSE,FALSE,5,5,0,0.6,955,53,0.222027764369232,0.214782139988919
17,15000,356,1,1,0.8,-4.88892013554335,-2.17281393409547,27.9250260072221,-0.00312506482564143,-4.21572328725972e-05,36.6055933163655,FALSE,TRUE,5,5,0,0.8,917,44,0.18378982692767,0.196293140446119
18,15000,356,1,1,0.8,-5.01466041205707,-2.83162708835157,27.542082633766,-0.00292415800793558,-2.33914769571797e-05,38.4905541646833,FALSE,TRUE,5,5,0,0.8,904,37,0.220390959537004,0.215404244217978
19,15000,356,1,1,0.8,-5.08556909438639,-2.41191797826945,30.183472203688,-0.00321690431892054,-0.000121892270842139,38.7671966142714,FALSE,TRUE,5,5,0,1,909,43,0.176164574027319,0.182394655095786
20,15000,356,1,1,0.8,-4.29602663366919,-2.44341141280805,19.1815928986004,-0.00249141685111583,-0.000142242864939135,28.9309862087988,FALSE,FALSE,5,5,0,0.8,976,45,0.202597428351919,0.181463592073525
