"rep","p","sel_current","sel_patched","rmse_current","rmse_patched","jaccard","patched_subset_frac"
1,15000,48,48,0.166771544707521,0.166771544707521,1,1
2,15000,51,51,0.187647456060004,0.187647456060004,1,1
3,15000,49,49,0.145514059090061,0.145514059090061,1,1
4,15000,43,43,0.199524019315015,0.199524019315015,1,1
5,15000,37,37,0.1526063642125,0.1526063642125,1,1
6,15000,44,44,0.175137929389798,0.175137929389798,1,1
7,15000,35,35,0.200431180103108,0.200431180103108,1,1
8,15000,46,46,0.148254197053897,0.148254197053897,1,1
9,15000,63,63,0.195234851492026,0.195234851492026,1,1
10,15000,44,44,0.144385295347944,0.144385295347944,1,1
11,15000,49,49,0.181357900597219,0.181357900597219,1,1
12,15000,49,49,0.198571228580046,0.198571228580046,1,1
13,15000,45,45,0.163045821428528,0.163045821428528,1,1
14,15000,40,40,0.194707771666323,0.194707771666323,1,1
15,15000,57,57,0.183508230531273,0.183508230531273,1,1
16,15000,48,48,0.216295047416532,0.216295047416532,1,1
17,15000,49,49,0.200902804701349,0.200902804701349,1,1
18,15000,37,37,0.211029174961931,0.211029174961931,1,1
19,15000,42,42,0.182321759102293,0.182321759102293,1,1
20,15000,30,30,0.186117609623617,0.186117609623617,1,1
