"Rep","p","Framework","Method","RMSE","MAE","R2","Selected","n_test"
1,1000,"THCM","Ridge",0.263050125479421,0.184751323943058,0.732426345891946,1000,46
1,1000,"ICM","Ridge",0.380894408324261,0.270568176017649,0.538025586416316,1000,89
1,1000,"THCM","LASSO",0.206444444516892,0.150650715234502,0.835194111951769,87,46
1,1000,"ICM","LASSO",0.336134743535581,0.234667534041185,0.640221226219465,87,89
1,1000,"THCM","ENET",0.226124825267916,0.161669771326637,0.802274441211329,66,46
1,1000,"ICM","ENET",0.33781282825784,0.236681833721354,0.636620013917576,66,89
1,1000,"THCM","MM-RWAL",0.485979460534426,0.344241150075849,0.0867237744643956,1,46
1,1000,"ICM","MM-RWAL",0.54318787557784,0.398063470137612,0.0604738686811142,1,89
1,1000,"THCM","RAENR-MM",0.294688529482715,0.197733104810531,0.664190648359166,26,46
1,1000,"ICM","RAENR-MM",0.376398550626004,0.260658565404525,0.548866982320062,26,89
2,1000,"THCM","Ridge",0.261307486947028,0.2029303601692,0.557738052859306,1000,43
2,1000,"ICM","Ridge",0.357821373717798,0.258545451295067,0.528576899521623,1000,89
2,1000,"THCM","LASSO",0.311605650301441,0.250649951562261,0.371092874515585,49,43
2,1000,"ICM","LASSO",0.410226346727531,0.304206362587624,0.380380037229588,49,89
2,1000,"THCM","ENET",0.302048764049131,0.242265085295379,0.409078225778305,52,43
2,1000,"ICM","ENET",0.396321988013189,0.292914372322535,0.42167144262567,52,89
2,1000,"THCM","MM-RWAL",0.311650394055687,0.23699966022977,0.370912250793651,11,43
2,1000,"ICM","MM-RWAL",0.438754224418451,0.313029719898446,0.291204544456166,11,89
2,1000,"THCM","RAENR-MM",0.272472793708827,0.210688852197003,0.519136119872985,39,43
2,1000,"ICM","RAENR-MM",0.386064564692894,0.265789733736266,0.45122011405885,39,89
3,1000,"THCM","Ridge",0.257429654579544,0.162120543390354,0.608127478072034,1000,38
3,1000,"ICM","Ridge",0.381791672117723,0.270365265753128,0.413061778792088,1000,89
3,1000,"THCM","LASSO",0.282917446539069,0.179003854197385,0.526688427223075,69,38
3,1000,"ICM","LASSO",0.352765129578879,0.251314599313374,0.498915709266646,69,89
3,1000,"THCM","ENET",0.279507390818718,0.182268403324183,0.538029486770916,89,38
3,1000,"ICM","ENET",0.351076792162254,0.249650353792405,0.503700620276813,89,89
3,1000,"THCM","MM-RWAL",0.308340562757398,0.224389902323877,0.437802402499939,3,38
3,1000,"ICM","MM-RWAL",0.384790811647355,0.288823186054251,0.403804250415592,3,89
3,1000,"THCM","RAENR-MM",0.268289772789516,0.16958771333016,0.574366404947158,51,38
3,1000,"ICM","RAENR-MM",0.376627792339076,0.275438199129126,0.428831538749017,51,89
4,1000,"THCM","Ridge",0.310830172293689,0.224598238508932,0.667372710447702,1000,56
4,1000,"ICM","Ridge",0.38330274362924,0.276649513497087,0.559574651774343,1000,89
4,1000,"THCM","LASSO",0.272421580720028,0.196092522056624,0.744497851881456,88,56
4,1000,"ICM","LASSO",0.357931483670259,0.262306118819476,0.615949573378362,88,89
4,1000,"THCM","ENET",0.302583316882492,0.216623314285027,0.68478890393767,219,56
4,1000,"ICM","ENET",0.374571624848898,0.273508908185731,0.579410718772043,219,89
4,1000,"THCM","MM-RWAL",0.381825574428902,0.276231838447836,0.498071834990761,1,56
4,1000,"ICM","MM-RWAL",0.438798711791057,0.329908076754127,0.422809547788787,1,89
4,1000,"THCM","RAENR-MM",0.307621512004081,0.210535667814779,0.674204603429377,38,56
4,1000,"ICM","RAENR-MM",0.378404231996678,0.269704626364624,0.570759768667164,38,89
5,1000,"THCM","Ridge",0.274120173673204,0.202597417424759,0.707846571026456,1000,37
5,1000,"ICM","Ridge",0.418906824939171,0.313078881435985,0.526097487945464,1000,89
5,1000,"THCM","LASSO",0.25987220572674,0.209681010796967,0.737427852237421,32,37
5,1000,"ICM","LASSO",0.40059405365053,0.312728253193549,0.566625717625229,32,89
5,1000,"THCM","ENET",0.20086823217673,0.152478945880302,0.843125806483079,195,37
5,1000,"ICM","ENET",0.344478345116211,0.24528898137176,0.67953692847338,195,89
5,1000,"THCM","MM-RWAL",0.357524714998841,0.261452844927497,0.503017462029284,2,37
5,1000,"ICM","MM-RWAL",0.457660267154531,0.345523756145095,0.434359420885342,2,89
5,1000,"THCM","RAENR-MM",0.256170974336373,0.184031985189141,0.744853960408314,48,37
5,1000,"ICM","RAENR-MM",0.41130571139662,0.300227837948803,0.543139491266509,48,89
6,1000,"THCM","Ridge",0.272851555047662,0.185794960892137,0.685510426688414,1000,46
6,1000,"ICM","Ridge",0.384859080401997,0.259961467251472,0.457383062455623,1000,89
