"rep","p","cap","adaptive","outer_iters","outer_converged","outer_hit_cap","final_outer_delta","inner_mean","inner_max","inner_conv_frac","inner_cap_frac","n_steps","n_desc","worst_increase","obj_change","scale_ratio","n_selected"
1,15000,5,TRUE,5,FALSE,TRUE,0.00169425938272,29.6,50,0.8,0.2,5,3,4.20834771528433e-05,-1.89881419348062,1.06233360184656,43
2,15000,5,TRUE,5,TRUE,FALSE,0.000958600716882803,27.4,50,0.6,0.4,5,2,0.00472057815404181,-2.37503081550055,1.15400848820648,49
3,15000,5,TRUE,5,FALSE,TRUE,0.00342728779814996,25.8,50,0.8,0.2,5,2,0.00636421502338003,-2.39077942935234,1.15511823609061,43
4,15000,5,TRUE,5,FALSE,TRUE,0.00395589989115021,45.4,50,0.6,0.4,5,3,0.0010775840710453,-2.61507531569881,1.13958939649736,48
5,15000,5,TRUE,5,FALSE,TRUE,0.00168584177229887,30.4,50,0.8,0.2,5,2,0.00231147784502728,-2.43571368543123,1.11847237401311,37
6,15000,5,TRUE,5,FALSE,TRUE,0.0027489222927678,22.6,50,0.8,0.2,5,5,-0.00307566517767643,-2.16256053195118,1.07149811308122,40
7,15000,5,TRUE,5,FALSE,TRUE,0.00229633719684008,33.2,50,0.6,0.4,5,4,0.000588513355869402,-1.9812614495212,1.0509903630837,48
8,15000,5,TRUE,5,FALSE,TRUE,0.0020067642881335,38.8,50,0.6,0.4,5,3,0.000965901311129613,-2.075950127714,1.08737338928434,50
9,15000,5,TRUE,5,FALSE,TRUE,0.00135659675426444,26.2,50,0.8,0.2,5,2,0.00300981340967965,-1.77399786039175,1.17227681156709,48
10,15000,5,TRUE,5,FALSE,TRUE,0.00311092948442404,32,50,0.6,0.4,5,3,0.000923752929303134,-2.30742241900947,1.08495715105437,57
11,15000,5,TRUE,5,FALSE,TRUE,0.00115797439641579,21.6,50,0.8,0.2,5,5,-0.000613546551694988,-2.66350416206732,1.14753495020057,49
12,15000,5,TRUE,5,TRUE,FALSE,0.000947635273611724,35,50,0.6,0.4,5,2,0.00213475246170169,-2.46568289638391,1.11542091199936,49
