"rep","p","rmse_lo","rmse_hi","sel_lo","sel_hi","jaccard","beta_rel_change"
1,15000,0.167670035434759,0.167568655192262,43,43,1,0.00798021921006578
2,15000,0.172513796768764,0.172513796768764,49,49,1,0
3,15000,0.14912559808842,0.149375560590952,43,43,1,0.0234227493073373
4,15000,0.211900542429976,0.211954974250907,48,49,0.979591836734694,0.0189479522779331
5,15000,0.153430868333988,0.153613667556216,37,37,1,0.0113631649469097
6,15000,0.180509580766451,0.180660260028873,40,40,1,0.0173536892017791
7,15000,0.195635750214792,0.195425097739459,48,48,1,0.00941429130267704
8,15000,0.145036239137358,0.145172331432128,50,50,1,0.00400430046485159
9,15000,0.187137042142826,0.187128455510766,48,49,0.979591836734694,0.00233752101150404
10,15000,0.140648296786036,0.141016361589009,57,56,0.982456140350877,0.0312404027889816
11,15000,0.181357900597219,0.181341541334362,49,49,1,0.00342760674898814
12,15000,0.207708827267264,0.207708827267264,49,49,1,0
13,15000,0.160010717584832,0.160010717584832,41,41,1,0
14,15000,0.189840219236327,0.188742176609272,67,64,0.955223880597015,0.0302989952355741
15,15000,0.182551120026427,0.182551120026427,41,41,1,0
16,15000,0.214753054424684,0.214716479222283,51,51,1,0.00511768817036308
17,15000,0.196369807609046,0.196369807609046,43,43,1,0
18,15000,0.215532948530845,0.215532948530845,37,37,1,0
19,15000,0.182321759102293,0.182317184594425,42,42,1,0.00392185632027421
20,15000,0.180050117177604,0.179979283477967,45,45,1,0.00338349562997506
21,15000,0.171542110264035,0.171867645583083,50,50,1,0.0155488280630075
22,15000,0.143916262585629,0.143916262585629,33,33,1,0
23,15000,0.194116252290924,0.194152569662335,37,37,1,0.00233877861174211
24,15000,0.164897774444259,0.164754851178307,50,50,1,0.00509432772131493
25,15000,0.18680193546388,0.186651773042525,59,59,1,0.00339991261822464
26,15000,0.13065828477246,0.13065828477246,48,48,1,0
27,15000,0.151245146795251,0.151059637343684,56,57,0.982456140350877,0.0272279379182988
28,15000,0.162991236175227,0.155731002411633,55,55,0.929824561403509,0.0979190245095727
29,15000,0.169062954867855,0.169062954867855,33,33,1,0
30,15000,0.2286876745791,0.228569520993293,46,47,0.978723404255319,0.0319711037983977
31,15000,0.133556842006515,0.133463213716402,44,44,1,0.0154524329286492
32,15000,0.171776382846975,0.171776382846975,38,38,1,0
33,15000,0.184445965525894,0.1844324525685,35,35,1,0.00338831835114782
34,15000,0.153665740573387,0.153665740573387,43,43,1,0
35,15000,0.205429203461771,0.205525786785153,53,52,0.981132075471698,0.00471345150849037
36,15000,0.167323770561372,0.167323770561372,46,46,1,0
37,15000,0.157713640558449,0.157713640558449,39,39,1,0
38,15000,0.120433614002277,0.120473521687623,38,38,1,0.00349378163945105
39,15000,0.135169440956129,0.135059574794856,39,39,1,0.00446441156382862
40,15000,0.175943467863273,0.175936659040349,48,48,1,0.00199134318253775
41,15000,0.180707060613063,0.180707060613063,38,38,1,0
42,15000,0.145594713231235,0.145542996660265,41,41,1,0.00523242250390644
43,15000,0.133539482280037,0.133539482280037,31,31,1,0
44,15000,0.184813972167826,0.184813972167826,47,47,1,0
45,15000,0.158761147181114,0.158761147181114,38,38,1,0
46,15000,0.132723885681635,0.132723885681635,35,35,1,0
47,15000,0.126520265482083,0.126641333314857,48,48,0.92,0.095374406448183
48,15000,0.154516855704964,0.155817474649022,37,37,1,0.0380463147398348
49,15000,0.153392304059554,0.153392304059554,48,48,1,0
50,15000,0.13629244927005,0.136059936392314,50,50,1,0.00914993593326604
