"rep","p","cap","adaptive","outer_iters","outer_converged","outer_hit_cap","final_outer_delta","inner_mean","inner_max","inner_conv_frac","inner_cap_frac","n_steps","n_desc","worst_increase","obj_change","scale_ratio","n_selected"
1,15000,5,FALSE,5,FALSE,TRUE,0.00129084947595825,27.2,50,0.8,0.2,5,5,-0.000190339598093558,-1.89965494175929,1,44
2,15000,5,FALSE,5,TRUE,FALSE,0.000596317467719547,26.4,50,0.6,0.4,5,5,-7.07107309736443e-05,-2.3919500216635,1,50
3,15000,5,FALSE,5,TRUE,FALSE,0.000632883964081118,23.2,50,0.8,0.2,5,5,-7.70211041123403e-05,-2.41345428750982,1,44
4,15000,5,FALSE,5,FALSE,TRUE,0.0027845178617118,41.6,50,0.8,0.2,5,5,-0.000964063398410708,-2.62169975645474,1,51
5,15000,5,FALSE,5,FALSE,TRUE,0.00164732824671384,25.8,50,0.8,0.2,5,5,-0.000548126855489883,-2.44797813480057,1,40
6,15000,5,FALSE,5,FALSE,TRUE,0.0022258683382499,24.2,50,0.8,0.2,5,5,-0.00118184852146985,-2.16689037859253,1,41
7,15000,5,FALSE,5,FALSE,TRUE,0.00138226082369439,32.8,50,0.6,0.4,5,5,-0.000290217191526665,-1.98266116803199,1,46
8,15000,5,FALSE,5,FALSE,TRUE,0.00125254818437341,33,50,0.8,0.2,5,5,-0.000184675497437503,-2.08065148940166,1,50
9,15000,5,FALSE,5,TRUE,FALSE,0.000649900952146442,24.4,50,0.8,0.2,5,5,-4.7142076945228e-05,-1.78792765348601,1,50
10,15000,5,FALSE,5,FALSE,TRUE,0.00173416887250763,31.6,50,0.6,0.4,5,5,-0.000357379131067148,-2.31029385003961,1,57
11,15000,5,FALSE,5,FALSE,TRUE,0.00137391053072108,24.2,50,0.8,0.2,5,5,-0.000290602619437585,-2.67063058628712,1,50
12,15000,5,FALSE,5,FALSE,TRUE,0.00124501516790819,31.2,50,0.6,0.4,5,5,-0.000208732123314626,-2.47673375932321,1,48
13,15000,5,FALSE,4,TRUE,FALSE,0.000814448606062223,21.5,50,0.75,0.25,4,4,-0.000152705590625857,-2.5123978875045,1,41
14,15000,5,FALSE,5,FALSE,TRUE,0.00424067921205442,43,50,0.4,0.6,5,5,-0.00163728807511898,-1.73848200938055,1,68
15,15000,5,FALSE,5,TRUE,FALSE,0.000430432245585105,25.4,50,0.8,0.2,5,5,-3.09191477168014e-05,-2.35589294603199,1,41
16,15000,5,FALSE,5,FALSE,TRUE,0.0018639615677294,36.2,50,0.6,0.4,5,5,-0.000290254876061269,-1.73865639134021,1,53
17,15000,5,FALSE,5,TRUE,FALSE,0.000440259341872233,24.6,50,0.8,0.2,5,5,-4.21572328725972e-05,-2.17281393409547,1,44
18,15000,5,FALSE,5,TRUE,FALSE,0.000409929371534196,22.2,50,0.8,0.2,5,5,-2.33914769571797e-05,-2.83162708835157,1,37
19,15000,5,FALSE,5,TRUE,FALSE,0.000870516266313847,29.2,50,1,0.2,5,5,-0.000121892270842139,-2.41191797826945,1,43
