"rep","p","thcm_rmse_adaptive","thcm_rmse_fixed","thcm_r2_adaptive","thcm_r2_fixed","icm_rmse_adaptive","icm_rmse_fixed","icm_r2_adaptive","icm_r2_fixed","sel_adaptive","sel_fixed","jaccard"
1,15000,0.167670035434759,0.167566717640924,0.797873950771045,0.798122973004978,0.316350260726871,0.31602865736581,0.681327107666086,0.681974707443449,43,44,0.977272727272727
2,15000,0.172513796768764,0.173140422956758,0.705916108873214,0.703775812215797,0.324357086307262,0.32117700757996,0.612630802878886,0.620189298374745,49,50,0.98
3,15000,0.14912559808842,0.147656826002808,0.795527570609572,0.799535526634876,0.300450137609962,0.296330636937047,0.636516832513508,0.646416004993832,43,44,0.977272727272727
4,15000,0.211900542429976,0.211139218854313,0.759298991087855,0.761025481778095,0.367629589967732,0.367072561225918,0.594856038502814,0.596082848670556,48,51,0.941176470588235
5,15000,0.153430868333988,0.152295426552156,0.747292839308644,0.75101924150183,0.367076816362918,0.363950034384669,0.636111733931257,0.642284574608045,37,40,0.925
6,15000,0.180509580766451,0.181209119029344,0.745975660273463,0.744002977503174,0.331616862079141,0.330914606819707,0.597131713583024,0.598836191512097,40,41,0.975609756097561
7,15000,0.195635750214792,0.196023067854198,0.556265601355843,0.554506860542445,0.303076651936167,0.302676577500088,0.671021806808325,0.671889764765494,48,46,0.958333333333333
8,15000,0.145036239137358,0.144415592679436,0.779974589989632,0.781853648757731,0.266200486028384,0.263417719760543,0.655900004835022,0.663056602696839,50,50,1
9,15000,0.187137042142826,0.187712772911641,0.729334221125729,0.727666242160733,0.558517841989954,0.55503421502664,0.371823429523264,0.379635205844428,48,50,0.96
10,15000,0.140648296786036,0.140353364283257,0.820155273221098,0.820908733352669,0.2289840554266,0.229588792037697,0.682492118801287,0.680812856174779,57,57,0.96551724137931
11,15000,0.181357900597219,0.181157924566172,0.745380407834606,0.745941615731159,0.263149272255451,0.262376860137924,0.686182038626657,0.688021610858105,49,50,0.941176470588235
12,15000,0.207708827267264,0.204097325944922,0.684803260014564,0.695668827647247,0.287656349090007,0.285643421641529,0.60180756856553,0.607360917505267,49,48,0.94
13,15000,0.160010717584832,0.159437824700277,0.823149088145906,0.824413194157423,0.365641037088667,0.364956231754833,0.598573105825167,0.600075354327951,41,41,1
14,15000,0.189840219236327,0.189905088153028,0.795492179372956,0.795352393742886,0.518414588888949,0.520199740992714,0.41400918048013,0.409966532564474,67,68,0.928571428571429
15,15000,0.182551120026427,0.182348141608838,0.70346127308512,0.704120348728126,0.449059065848044,0.448039748406658,0.51358196115668,0.515787691782677,41,41,1
16,15000,0.214753054424684,0.214782139988919,0.684698528442832,0.684613115527449,0.385599788959396,0.385443195915502,0.557027851384078,0.557387562536269,51,53,0.962264150943396
17,15000,0.196369807609046,0.196293140446119,0.757772259942629,0.757961365269855,0.550872063828876,0.550132355498124,0.412691404735998,0.414267616016833,43,44,0.977272727272727
18,15000,0.215532948530845,0.215404244217978,0.702698587716,0.703053545504893,0.508580394585949,0.508215144804337,0.389282316542925,0.390159206030591,37,37,1
19,15000,0.182321759102293,0.182394655095786,0.611827618144771,0.611517157470575,0.369593058227638,0.36895153093266,0.590363877292201,0.591784708525015,42,43,0.931818181818182
20,15000,0.180050117177604,0.181463592073525,0.668506576988299,0.663281400424313,0.470599741510723,0.469064486310134,0.487790797303125,0.491127344554602,45,45,0.956521739130435
21,15000,0.171542110264035,0.170184042112781,0.752616506667445,0.756517983231316,0.474915817019163,0.474890991298524,0.420403829162643,0.420464423129081,50,49,0.903846153846154
22,15000,0.143916262585629,0.14327302094459,0.767468182937678,0.769542165126839,0.544339746626005,0.543933911025828,0.40017493166063,0.401069004241847,33,33,1
23,15000,0.194116252290924,0.192869424160039,0.709075989477539,0.712801255170103,0.553984415285769,0.5539434306453,0.444496734572135,0.444578925546509,37,38,0.973684210526316
24,15000,0.164897774444259,0.165930604656081,0.62656942108535,0.621876837902822,0.376774262624207,0.375881137233154,0.506691337240491,0.509027294556976,50,51,0.980392156862745
25,15000,0.18680193546388,0.187516673714311,0.745327291111854,0.743374714388769,0.425372152264447,0.425953567739095,0.511000146222273,0.509662463982993,59,58,0.983050847457627
26,15000,0.13065828477246,0.130873191996873,0.740249690001956,0.739394510760111,0.562346284565635,0.56118018777407,0.443110096260236,0.44541726625086,48,47,0.979166666666667
27,15000,0.151245146795251,0.151630853061077,0.752958768811025,0.751697150154951,0.258204809672416,0.256095108992235,0.631969383583197,0.637958911480845,56,58,0.96551724137931
28,15000,0.162991236175227,0.16573589961129,0.79495658090039,0.787992849998582,0.334048688632186,0.332393296222332,0.587667624238575,0.591744159494753,55,57,0.931034482758621
29,15000,0.169062954867855,0.169176870544021,0.767559811506985,0.767246466670706,0.452718323747862,0.452142337629184,0.498520582710927,0.499795819084266,33,32,0.96969696969697
30,15000,0.2286876745791,0.22801330108041,0.66136227190346,0.66335653411318,0.311019616024401,0.308376322904194,0.649415092059964,0.65534887060574,46,47,0.978723404255319
31,15000,0.133556842006515,0.133925013880803,0.789640555317857,0.788479174445654,0.32250215987789,0.321963421155379,0.663810555406203,0.664932823816764,44,45,0.977777777777778
32,15000,0.171776382846975,0.172740048020095,0.756605170368449,0.753866621187241,0.44950188349148,0.448782520027684,0.495862413306248,0.497474722320506,38,38,1
33,15000,0.184445965525894,0.184219018532043,0.758816546165248,0.759409697503239,0.468455525768805,0.466746377504164,0.497679118634789,0.501337842390235,35,35,0.944444444444444
34,15000,0.153665740573387,0.15484535940998,0.764968137297954,0.761345831350028,0.366146055656369,0.366293387790083,0.563887203058141,0.563536160870093,43,43,0.954545454545455
35,15000,0.205429203461771,0.204926417862103,0.680332505528258,0.681895355647629,0.434933514283467,0.434545969393823,0.482902856768169,0.483823958807248,53,53,0.962962962962963
36,15000,0.167323770561372,0.168242606020974,0.696539765698017,0.693197794604848,0.556651583692265,0.556458082605552,0.431312443238539,0.431707744490981,46,46,1
37,15000,0.157713640558449,0.15759157106097,0.83427539101145,0.834531831617904,0.363553865172196,0.361671644443028,0.605484259160705,0.609558722619737,39,39,1
38,15000,0.120433614002277,0.120714042667342,0.821338560071497,0.820505568048261,0.447451375288985,0.44747695922788,0.490630776112413,0.490572526012517,38,37,0.923076923076923
39,15000,0.135169440956129,0.133839710444832,0.845856261894125,0.848874125029533,0.328674771196824,0.327859709956959,0.636880104353239,0.638678830664038,39,41,0.951219512195122
40,15000,0.175943467863273,0.175995202052927,0.681336962932014,0.681149536846539,0.524882901510047,0.525031032610822,0.44779019926354,0.447478468826061,48,49,0.979591836734694
41,15000,0.180707060613063,0.179497301722075,0.793638523249733,0.796392283802194,0.46539562329281,0.463265887822112,0.539019785858471,0.54322919176671,38,38,1
